orden,familia,especie,nombre comun,imagen
Galliformes,Phasianidae,Pavo cristatus,Pavo real hembra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/0_Pavo%20cristatus_f.jpg?raw=true
Galliformes,Phasianidae,Pavo cristatus,Pavo real macho,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/0_Pavo%20cristatus_m.jpg?raw=true
Galliformes,Cracidae,Ortalis garrula,Guacharaca caribeña,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/1_Ortalis%20garrula_Foto%20por%20Felipe%20Vargas%20.jpg?raw=true
Galliformes,Odontophoridae,Colinus cristatus,Perdiz chilindra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/2_Colinus%20cristatus.jpg?raw=true
Pelecaniformes,Ardeidae,Ardea alba,Garza real,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/3_Ardea%20alba.jpg?raw=true
Pelecaniformes,Ardeidae,Bubulcus ibis,Garcita bueyera,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/4_Bubulcus%20ibis.jpg?raw=true
Pelecaniformes,Threskiornithidae,Phimosus infuscatus,Coquito,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/5_Phimosus%20infuscatus.jpg?raw=true
Cathartiformes,Cathartidae,Cathartes aura,Guala cabecirroja,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/6_Cathartes%20aura.jpg?raw=true
Cathartiformes,Cathartidae,Cathartes burrovianus,Laura,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/7_Cathartes%20burrovianus.jpg?raw=true
Cathartiformes,Cathartidae,Coragyps atratus,Gallinazo negro o golero,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/8_Coragyps%20atratus.jpg?raw=true
Falconiformes,Falconidae,Milvago chimachima,Pigua,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/9_Milvago%20chimachima.jpg?raw=true
Falconiformes,Falconidae,Caracara cheriway,Caracara moñudo o guereguere,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/10_Caracara%20cheriway.jpg?raw=true
Falconiformes,Falconidae,Falco sparverius,Cernícalo hembra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/11_Falco%20sparverius_f.jpg?raw=true
Falconiformes,Falconidae,Falco sparverius,Cernícalo macho,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/11_Falco%20sparverius_m.jpg?raw=true
Accipitriformes,Accipitridae,Gampsonyx swainsonii,Aguililla enana,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/12_Gampsonyx%20swainsonii.jpg?raw=true
Accipitriformes,Accipitridae,Rupornis magnirostris,Gavilán caminero,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/13_Rupornis%20magnirostris.jpg?raw=true
Accipitriformes,Accipitridae,Buteogallus meridionalis,Gavilán sabanero,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/14_Buteogallus%20meridionalis.JPG?raw=true
Charadriiformes,Charadriidae,Vanellus chilensis,Pellar común o tanga o alcaraván,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/15_Vanellus%20chilensis.jpg?raw=true
Charadriiformes,Charadriidae,Actitis macularia,Andarrios manchado o meneaculito,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/16_Actitis%20macularia.jpg?raw=true
Columbiformes,Columbidae,Columbina passerina,Tortolita pechiescamada o tierrelita,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/17_Columbina%20passerina.jpg?raw=true
Columbiformes,Columbidae,Leptoptila verreauxi,Tórtola rabiblanca,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/18_Leptoptila%20verreauxi.jpg?raw=true
Columbiformes,Columbidae,Columbina talpacoti,Tortolita rojiza o palomita o abuelita,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/19_Columbina%20talpacoti.jpg?raw=true
Psittaciformes,Psitacidae,Eupsittula pertinax,Perico carisucio,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/20_Eupsittula%20pertinax.jpg?raw=true
Psittaciformes,Psitacidae,Forpus xanthopterygius,Periquito azulejo,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/21_Forpus%20xanthopterygius.jpg?raw=true
Psittaciformes,Psitacidae,Amazona amazonica,Lora amazónica,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/22_Amazona%20amazonica.jpg?raw=true
Cuculiformes,Cuculidae,Piaya cayana,Cuco-ardilla común,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/23_Piaya%20cayana.jpg?raw=true
Cuculiformes,Cuculidae,Crotophaga ani,Garrapatero o cocinera,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/24_Crotophaga%20ani.jpg?raw=true
Cuculiformes,Cuculidae,Coccyzus americanus,Cuco americano,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/25_Coccyzus%20americanus.jpg?raw=true
Strigiformes,Strigidae,Glaucidium brasilianum,Buhito ferrugíneo o palomita de la muerte,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/26_Glaucidium%20brasilianum.jpg?raw=true
Caprimulgiformes,Caprimulgidae,Nyctidromus albicollis,Bujío,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/27_Nyctidromus%20albicollis.jpg?raw=true
Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,Chotacabras menor,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/28_Chordeiles%20acutipennis.jpg?raw=true
Apodiformes,Trochilidae,Chlorostilbon gibsoni,Esmeralda piquirroja,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/29_Chlorostilbon%20gibsoni.jpg?raw=true
Apodiformes,Trochilidae,Amazilia tzacatl,Amazilia collirufo,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/30_Amazilia%20tzacatl.jpg?raw=true
Apodiformes,Trochilidae,Lepidopyga goudoti,Colibrí de Goudot,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/31_Lepidopyga%20goudoti_Foto%20por%20Hern%C3%A1n%20Arias.jpg?raw=true
Coraciiformes,Alcedinidae,Megaceryle torquata,Martín pescador grande o chana,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/32_Megaceryle%20torquata.jpg?raw=true
Coraciiformes,Momotidae,Momotus subrufescens,Barranquero ferina,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/33_Momotus%20subrufescens.jpg?raw=true
Galbuliformes,Bucconidae,Hypnelus ruficollis,Bobo punteado o pecho de tigre,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/34_Hypnelus%20ruficollis.jpg?raw=true
Galbuliformes,Galbulidae,Galbula ruficauda,Jacamar colirrufo,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/35_Galbula%20ruficauda.jpg?raw=true
Piciformes,Picidae,Melanerpes rubricapillus,Carpintero habado,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/36_Melanerpes%20rubricapillus.jpg?raw=true
Piciformes,Picidae,Campephilus melanoleucos,Carpintero marcial,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/37_Campephilus%20melanoleucos.jpg?raw=true
Piciformes,Picidae,Colaptes punctigula,Carpintero buchipecoso,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/38_Colaptes%20punctigula.jpg?raw=true
Passeriformes,Furnariidae,Dendroplex picus,Trepatroncos pico-de-lanza,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/39_Dendroplex%20picus.jpg?raw=true
Passeriformes,Thamnophilidae,Sakesphorus canadenses,Batará copetón o carcajada,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/40_Sakesphorus%20canadenses.jpg?raw=true
Passeriformes,Thamnophilidae,Formicivora grisea,Hormiguerito pechinegro,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/41_Formicivora%20grisea.jpg?raw=true
Passeriformes,Tyrannidae,Camptostoma obsoletum,Atrapamoscas,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/42_Camptostoma%20obsoletum.jpg?raw=true
Passeriformes,Tyrannidae,Machetornis rixosa,Sirirí bueyero,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/43_Machetornis%20rixosa.jpg?raw=true
Passeriformes,Tyrannidae,Myiozetetes similis,Suelda social,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/44_Myiozetetes%20similis.jpg?raw=true
Passeriformes,Tyrannidae,Pitangus sulphuratus,Bichofué,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/45_Pitangus%20sulphuratus.jpg?raw=true
Passeriformes,Tyrannidae,Megarynchus pitangua,Atrapamoscas picudo,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/46_Megarynchus%20pitangua.jpg?raw=true
Passeriformes,Tyrannidae,Tyrannus dominicensis,Sirirí gris,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/47_Tyrannus%20dominicensis.jpg?raw=true
Passeriformes,Tyrannidae,Tyrannus melancholicus,Sirirí común,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/48_Tyrannus%20melancholicus.jpg?raw=true
Passeriformes,Tyrannidae,Elaenia flavogaster,Elenia copetona,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/49_Elaenia%20flavogaster.jpg?raw=true
Passeriformes,Tyrannidae,Myiarchus crinitus,Atrapamoscas copetón,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/50_Myiarchus%20crinitus.jpg?raw=true
Passeriformes,Vireonidae,Cyclarhis gujanensis,Verderon cejirrufo,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/51_Cyclarhis%20gujanensis.jpg?raw=true
Passeriformes,Vireonidae,Hylophilus flavipes,Verdillo paticlaro,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/52_Hylophilus%20flavipes.jpg?raw=true
Passeriformes,Corvidae,Cyanocorax affinis,Carriquí pechiblanca o chauchao,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/53_Cyanocorax%20affinis.jpg?raw=true
Passeriformes,Hirundinidae,Progne tapera,Golondrina sabanera,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/54_Progne%20tapera.jpg?raw=true
Passeriformes,Troglodytidae,Troglodytes aedon,Cucarachero común o ruiseñor,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/55_Troglodytes%20aedon.jpg?raw=true
Passeriformes,Troglodytidae,Campylorhynchus griseus,Chupahuevos,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/56_Campylorhynchus%20griseus.jpg?raw=true
Passeriformes,Turdidae,Turdus grayi,Mirla parda,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/57_Turdus%20grayi.jpg?raw=true
Passeriformes,Thraupidae,Thraupis episcopus,Azulejo común,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/58_Thraupis%20episcopus.jpg?raw=true
Passeriformes,Thraupidae,Thraupis glaucocolpa,Azulejo glauco,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/59_Thraupis%20glaucocolpa.jpg?raw=true
Passeriformes,Thraupidae,Volatinia jacarina,Chirrío hembra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/60_Volatinia%20jacarina_f.jpg?raw=true
Passeriformes,Thraupidae,Volatinia jacarina,Chirrío macho,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/60_Volatinia%20jacarina_m.jpg?raw=true
Passeriformes,Thraupidae,Sicalis flaveola,Canario común hembra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/61_Sicalis%20flaveola_f.jpg?raw=true
Passeriformes,Thraupidae,Sicalis flaveola,Canario común macho,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/61_Sicalis%20flaveola_m.jpg?raw=true
Passeriformes,Thraupidae,Coereba flaveola,Mielero común,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/62_Coereba%20flaveola.jpg?raw=true
Passeriformes,Thraupidae,Saltator coerulescens,Saltador papayero,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/63_Saltator%20coerulescens.JPG?raw=true
Passeriformes,Thraupidae,Dacnis cayana,Dacnis azul hembra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/64_Dacnis%20cayana_f.jpg?raw=true
Passeriformes,Thraupidae,Dacnis cayana,Dacnis azul macho,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/64_Dacnis%20cayana_m.jpg?raw=true
Passeriformes,Thraupidae,Piranga rubra,Piranga rubra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/65_Piranga%20rubra.jpg?raw=true
Passeriformes,Icteridae,Icterus galbula,Oriol de Baltimore,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/66_Icterus%20galbula.jpg?raw=true
Passeriformes,Icteridae,Icterus nigrogularis,Turpial amarillo,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/67_Icterus%20nigrogularis.jpg?raw=true
Passeriformes,Icteridae,Molothrus bonariensis,Chamón común,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/68_Molothrus%20bonariensis.jpg?raw=true
Passeriformes,Icteridae,Molothrus aeneus,Chamón ceribeño,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/69_Molothrus%20aeneus.jpg?raw=true
Passeriformes,Icteridae,Quiscalus mexicanus,Mariamulata,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/70_Quiscalus%20mexicanus.jpg?raw=true
Passeriformes,Fringillidae,Euphonia laniirostris,Eufonia gorgiamarillo hembra,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/71_Euphonia%20laniirostris_f.jpg?raw=true
Passeriformes,Fringillidae,Euphonia laniirostris,Eufonia gorgiamarillo macho,https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/71_Euphonia%20laniirostris_m.jpg?raw=true